window_idx,n_window_words,s_novelty,s_transience,s_resonance,window_text,s_base,s_ctx,id,cond
0,14,,-3.4429471492767334,,"Mira, who woke one morning to find that her shadow had disappeared. She noticed",6.0717267990112305,6.0717267990112305,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
1,14,-3.4429471492767334,-2.7854723930358887,-0.6574747562408447,"it first while brushing her teeth, the bathroom light casting clear illumination all around",7.4285197257995605,3.985572576522827,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
2,14,-4.5818257331848145,-2.159564256668091,-2.4222614765167236,"her but leaving no dark silhouette on the tiles below. She waved her hand,",7.260947227478027,2.679121494293213,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
3,14,-4.068985223770142,-2.714421033859253,-1.3545641899108887,"stepped closer to the mirror, even jumped—nothing. The absence felt more profound than she",7.644758701324463,3.5757734775543213,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
4,14,-3.644148588180542,-3.1957926750183105,-0.44835591316223145,"expected, like losing a limb she'd never consciously used. At breakfast, her coffee sat",6.896573543548584,3.252424955368042,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
5,14,-4.304685592651367,-3.1965951919555664,-1.1080904006958008,on the table without the familiar dark pool beside it. Her roommate didn't notice,6.941889762878418,2.637204170227051,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
6,14,-4.229527950286865,-3.482848644256592,-0.7466793060302734,"at first, chattering about weekend plans while spreading jam on toast. But when Mira",6.585461139678955,2.35593318939209,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
7,14,-4.895813941955566,-2.7495293617248535,-2.146284580230713,"stood to refill her mug, casting no darkness across the sunny kitchen floor, the",7.634023666381836,2.7382097244262695,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
8,14,-2.927387237548828,-2.4570822715759277,-0.4703049659729004,jar slipped from her roommate's fingers and shattered. Strawberry preserves spread like blood across,6.534891128540039,3.607503890991211,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
9,14,-4.055196762084961,-2.9857335090637207,-1.0694632530212402,"the linoleum, glittering with shards of glass. ""Mira, your—where is your—"" Her roommate's voice",6.169882774353027,2.1146860122680664,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
10,14,-4.604231357574463,-1.8578813076019287,-2.746350049972534,"cracked, unable to finish the sentence, as if naming the absence might make it",6.407867908477783,1.8036365509033203,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
11,14,-5.084266424179077,-4.7044901847839355,-0.3797762393951416,"more real. Mira knelt to clean the mess, watching her roommate's shadow bend and",7.749671936035156,2.665405511856079,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
12,14,-6.270674705505371,-1.7687535285949707,-4.5019211769104,stretch across the sticky red pool while her own hands moved through the light,8.654096603393555,2.3834218978881836,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
13,14,-3.5982792377471924,-3.1226112842559814,-0.47566795349121094,"like ghosts. ""I don't know,"" she whispered, gathering glass fragments carefully. ""It was just",5.457217693328857,1.858938455581665,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM
