story_id,sent_idx,n_words,sentence
188SQKM20FYzYRFIJ08U,0,5,the great feast in aarhus.
188SQKM20FYzYRFIJ08U,1,21,"Everybody had gathered down at Le Coq for ""Mad og Fad"" where people get a beer and a plate of food."
188SQKM20FYzYRFIJ08U,2,18,Everybody was so excited for what was going to be a long evening with lots of miscellaneous activities.
188SQKM20FYzYRFIJ08U,3,18,Everyone met up at exactly 18 o'clock and greeted everyone happy to celebrate the start of the feast.
188SQKM20FYzYRFIJ08U,4,26,"Some people showed up hammered already and the rest were in the process of getting there with ""Chartreuse on ice"" A delicious trademark of Le coq."
188SQKM20FYzYRFIJ08U,5,25,Then Simon stood up to announce his drop-out from university and that he was going to travel to every single country in the next year.
188SQKM20FYzYRFIJ08U,6,8,Everybody was surprised but very excited for him.
188SQKM20FYzYRFIJ08U,7,14,He then also told that he was gonna do so in an 18 ft.
188SQKM20FYzYRFIJ08U,8,3,People were shocked.
188SQKM20FYzYRFIJ08U,9,6,He was in for a ride.
188SQKM20FYzYRFIJ08U,10,10,"Or as some would say, ""the time of his life."""
188SQKM20FYzYRFIJ08U,11,20,They were actually all almost at the end of their studies and started planning trips according to his travel route.
188SQKM20FYzYRFIJ08U,12,31,People loved the idea of sailing and in a matter of hours one of his friends had also bought a boat from DBA which he was gonna follow him along in.
188SQKM20FYzYRFIJ08U,13,4,And more friends joined.
188SQKM20FYzYRFIJ08U,14,28,"They had actually planned out all of their next year in a matter of minutes, maybe with a little bit of alcoholic fuel but the plan is standing."
188SQKM20FYzYRFIJ08U,15,10,Next they will be meeting to draw the route on.
188SQKM20FYzYRFIJ08U,16,4,"On was saying ""Greenland!"
188SQKM20FYzYRFIJ08U,17,5,"We need to save them!""."
188SQKM20FYzYRFIJ08U,18,8,"Another yelled out ""CUBA I want cheap cigars."""
188SQKM20FYzYRFIJ08U,19,3,"I want vodka!""."
188SQKM20FYzYRFIJ08U,20,23,But then Anne fell down head first from the table after dancing ecstatically and losing the balance after twirling 20 times at once.
188SQKM20FYzYRFIJ08U,21,14,"No one was able to catch her, so she landed on the wooden floor."
188SQKM20FYzYRFIJ08U,22,10,Luckily nothing happened to her so that party kept going.
188SQKM20FYzYRFIJ08U,23,16,The room was electric and people were throwing dance moves that were unknown to mankind almost.
188SQKM20FYzYRFIJ08U,24,5,taking off through the ceiling.
188SQKM20FYzYRFIJ08U,25,21,"After a couple of hours of dancing, they left the party and started heading towards the harbour to continue their adventure."
188SQKM20FYzYRFIJ08U,26,12,But it was totally dark and people were not walking straight anymore.
188SQKM20FYzYRFIJ08U,27,7,They heard a horn from the waterside.
188SQKM20FYzYRFIJ08U,28,3,"""WHAT WAS THAT?"""
